ཡིག་ཆ།,"BDRC
Work",,,,,རྩ་བ།,"BDRC
Work",,,,,,,,,,,,,,,,
Pecha Upload List,,,,對讀上傳Pecha工作分配及流程,S.O.P. of Upload file to Pecha,,,,,,,,,,,,,,,,,,
Kumarajive No.,,Data Preparation,Tibetan/Chineses Sutra Name (Short),Tibetan/Chiness Sutra Name (Long),English Sutra Name,Commentary of (Toh number),,Category,Author (Tibetan/Chinese),Author (English),"""Source: URL or site name ",Bo/Zh/Modern ZH,Document link,Pecha no., Pecha Status,Alignment File,Alingment Status,todo KV,todo Drupchen,remark GZ,same segmentation,segmentation of simplified Chinese translation,陳/黃chen & huang remarks
toh4054-tai1606-5,,,མངོན་པ་ཆོས་ཀུན་ནས་བཏུས་པའི་རྣམ་པར་བཤད་པ་ཞེས་བྱ་བ།,མངོན་པ་ཆོས་ཀུན་ནས་བཏུས་པའི་རྣམ་པར་བཤད་པ་ཞེས་བྱ་བ།,Commentary on the Compendium of Abhidharma,toh4054,WA0RT3393-5,4.1. 唯識宗阿毗達磨釋論,རྒྱལ་བའི་་སྲས་,Jinaputra/Buddhasiṃha/Anhui,Esukhia,Bo,https://docs.google.com/document/d/1KYbm3Os0xNvA-9LeMCdnBhqztx7-2-G2fVsXvey-HeM/edit?usp=drive_link,,Pased,,Alignment Checking,,,,,,
,,裕隆,阿毘達磨雜集論,阿毘達磨雜集論,,toh4054,,4.1. 唯識宗阿毗達磨釋論,最勝子/師子覺，安慧糅,,CBETA,ZH,https://docs.google.com/document/d/1YLu2MyBttJyylo5cn8lm8B-_Ux0eqmEP_tS3BYG0N8E/edit?usp=drive_link,,Pased,,Alignment Checking,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
toh4049-tai1605-1,,,ཆོས་མངོན་པ་ཀུན་ལས་བཏུས་པ་བཞུགས་སོ།,ཆོས་མངོན་པ་ཀུན་ལས་བཏུས་པ་བཞུགས་སོ།,The Compendium of Abhidharma,toh4049,WA0RT3388-1,4.1. 唯識宗阿毗達磨釋論,ཐོགས་མེད་,Asaṅga,Esukhia,Bo,https://docs.google.com/document/d/1SaJHkXTv36iWJxc8-Ygn-yZ9guEuv5NhvyhbO4CX4OI/edit?usp=drive_link,,Pased,,Alignment Checking,,,,,,
,,裕隆,大乘阿毘達磨集論,大乘阿毘達磨集論,,toh4049,,4.1. 唯識宗阿毗達磨釋論,無著,,CBETA,ZH,https://docs.google.com/document/d/1BYtN_7QbWO__nWs5NGNz7Vw4-XoUe7rkVrI9YYmNpCM/edit?usp=drive_link,,Pased,,Alignment Checking,,,,,,
toh4049-tai1605-2,,,ཆོས་མངོན་པ་ཀུན་ལས་བཏུས་པ་བཞུགས་སོ།,ཆོས་མངོན་པ་ཀུན་ལས་བཏུས་པ་བཞུགས་སོ།,The Compendium of Abhidharma,toh4049,WA0RT3393-2,4.1. 唯識宗阿毗達磨釋論,ཐོགས་མེད་,Asaṅga,Esukhia,Bo,https://docs.google.com/document/d/1xalAkrEVYOE6vdCyYyGIQniyys3QldJJZT37od9B-UE/edit?usp=drive_link,,Pased,,Alignment Checking,,,,,,
,,裕隆,大乘阿毘達磨集論,大乘阿毘達磨集論,,toh4049,,4.1. 唯識宗阿毗達磨釋論,無著,,CBETA,ZH,https://docs.google.com/document/d/1f0vsM5iIpqftgqpDZp3zK7GqbCeIA0oBE58gjfmpazs/edit?usp=drive_link,,Pased,,Alignment Checking,,,,,,
toh4049-tai1605-3,,,ཆོས་མངོན་པ་ཀུན་ལས་བཏུས་པ་བཞུགས་སོ།,ཆོས་མངོན་པ་ཀུན་ལས་བཏུས་པ་བཞུགས་སོ།,The Compendium of Abhidharma,toh4049,WA0RT3393-3,4.1. 唯識宗阿毗達磨釋論,ཐོགས་མེད་,Asaṅga,Esukhia,Bo,https://docs.google.com/document/d/1kq82AFyKpqbF_jT6SZselF4QpySnB-QILd6huYnQGgI/edit?usp=drive_link,,Pased,,Alignment Checking,,,,,,
,,裕隆,大乘阿毘達磨集論,,,toh4049,,4.1. 唯識宗阿毗達磨釋論,無著,,CBETA,ZH,https://docs.google.com/document/d/1vkuz6PIrQtvqUnutN7t6LzDnJNjTwChRMSzQeZgoXkI/edit?usp=drive_link,,Pased,,Alignment Checking,,,,,,
toh4049-tai1605-4,,,ཆོས་མངོན་པ་ཀུན་ལས་བཏུས་པ་བཞུགས་སོ།,ཆོས་མངོན་པ་ཀུན་ལས་བཏུས་པ་བཞུགས་སོ།,The Compendium of Abhidharma,toh4049,WA0RT3393-4,4.1. 唯識宗阿毗達磨釋論,ཐོགས་མེད་,Asaṅga,Esukhia,Bo,https://docs.google.com/document/d/1rnD_vDneK3diACnR6gZ6FYdNofRFaPqOVVAkFZ_20xU/edit?usp=drive_link,,Pased,,Alignment Checking,,,,,,
